id,Price_euros
181,1966.7856
708,451.60687
862,354.68668
1064,1475.8573
702,777.6008
585,1104.5195
195,2776.5696
463,702.02814
14,2521.2458
621,2260.6091
1259,1365.3212
551,482.96527
358,321.32053
610,578.8462
880,452.74744
655,991.1196
630,534.9438
483,1987.08
115,1505.0287
297,1543.2921
1162,1505.0638
666,1378.0695
1278,1494.969
777,1466.4143
521,1944.7749
93,541.36285
260,962.4334
733,373.17203
908,1286.9563
797,528.20636
71,976.319
60,1305.7394
608,2023.2671
82,419.5382
540,661.26935
761,1720.5804
473,787.8233
183,795.79016
186,2915.6538
846,454.01947
901,711.4416
912,1019.3137
27,1174.2144
1127,2065.234
858,1151.843
958,1621.4038
771,491.75848
930,3619.0046
807,249.87012
618,1139.5243
250,1037.368
334,1048.14
180,968.11005
886,320.7659
394,1073.0746
659,685.43835
764,819.986
428,228.48164
1231,1458.9122
865,1149.2632
1286,890.198
635,1062.1788
143,587.88446
376,1149.2737
1032,1326.6818
1057,1313.0308
1089,682.94147
87,2368.0889
1072,601.01184
211,2185.5747
1003,952.9205
889,2714.9949
1066,2149.897
1225,882.0741
146,1447.5746
1044,1322.7084
1105,834.5803
59,531.1254
251,1040.3511
954,1151.4006
948,290.11374
887,1702.6135
369,1364.1772
1148,901.91315
1062,1271.3522
1135,1615.051
1180,2304.3904
620,583.8772
304,2248.9707
1048,469.04193
157,821.5211
1128,343.85175
714,1149.2632
993,1202.2968
689,2029.342
443,555.8138
673,2513.5547
975,1039.7139
391,1000.86346
810,588.4562
32,664.34906
724,311.3841
287,1480.3269
857,1101.2457
1087,813.62366
386,735.9327
649,978.8021
1247,1161.7415
279,1249.7958
1176,1343.3489
1125,1133.5242
286,925.7672
937,284.41724
508,621.44617
88,924.48065
446,1329.9329
336,900.0862
779,1151.3119
224,582.9707
834,1697.9911
238,445.964
582,1217.8717
726,896.5176
462,1081.3928
863,286.08472
987,1448.9255
1118,2395.1838
1151,1820.7689
736,2066.6196
957,960.7181
502,1162.2556
811,1218.7383
898,312.0425
802,1577.1677
265,865.5095
1081,622.7569
104,345.35278
675,2082.8904
1209,1352.9263
1004,565.737
29,685.6109
432,2025.6193
684,1697.2836
240,1420.0769
237,2996.495
152,1142.9108
725,794.31696
97,472.76315
1155,1397.109
746,1995.9177
1143,1031.4794
592,756.6604
479,1511.1218
1098,470.75766
903,1022.0716
936,1185.2711
539,2291.2676
653,359.02866
310,458.23114
892,1212.6167
338,2233.205
705,568.8365
273,1214.475
758,2242.44
1080,2198.4783
1073,2731.9756
480,1372.8247
1267,1848.3418
545,735.9327
153,411.0468
573,2351.8774
1150,2775.5457
949,2494.1313
160,645.42786
537,1939.4235
1102,1063.9888
833,911.07404
513,1395.3317
1202,2729.4475
76,1784.1293
514,480.68576
133,2351.6619
1251,488.1936
806,465.64856
1021,632.6323
206,1727.966
870,1319.388
179,909.95074
706,574.2965
416,1857.1276
534,1678.2748
989,832.3503
316,1137.6337
507,1819.862
817,421.15686
776,1809.5728
831,1977.1594
1229,825.9639
295,1820.0039
660,1353.0414
612,628.53314
529,1433.8943
114,1072.5687
492,2475.3557
226,790.09467
695,289.9688
751,607.52155
644,527.44806
1185,743.4678
917,1879.5654
527,1262.6357
854,771.78815
182,1896.0608
346,976.16974
90,332.46332
468,1142.5443
1147,580.19293
1061,1616.9231
1156,1249.691
496,752.0553
312,2421.5364
822,867.2663
337,1540.3011
835,1117.5574
255,897.59143
364,2028.4476
944,2116.6067
1266,533.86206
505,505.4611
350,571.20685
800,902.3652
567,824.64014
1242,2395.1838
905,888.76056
587,2635.868
922,861.6484
259,1120.9869
1248,906.3583
641,264.4772
128,549.0131
215,2499.3464
756,540.10547
1054,1116.4608
651,1177.2112
86,1400.6135
1037,1466.4143
1299,1130.2958
1109,2317.8984
679,680.636
1099,1769.4008
6,1638.9913
1163,1048.4156
516,2081.429
1115,1344.9138
977,1888.8608
910,1043.3364
962,418.31183
264,1143.7324
83,1219.5131
1295,1135.9672
158,1396.2747
487,898.85065
765,590.2523
445,731.4529
617,2285.767
727,917.7929
108,2008.1913
918,1714.0051
991,797.2765
81,1902.0804
122,693.2183
383,572.2419
951,1470.0272
75,1329.5573
421,710.86914
145,325.60764
8,1507.7188
175,620.0652
1123,2477.1238
927,713.69336
875,1472.8737
1029,1249.7958
1265,887.53815
1033,433.7031
663,252.59373
184,673.7043
896,1612.4529
688,547.6526
984,495.01175
744,1383.1119
38,635.0726
1227,1303.2832
605,1616.9231
1246,2273.5828
77,1958.2001
1252,486.1139
920,866.95264
805,1047.132
397,1230.4619
231,578.9968
1104,789.0309
1204,1172.9989
1217,1037.9062
149,1547.631
461,711.4416
21,2264.1035
357,1855.7739
780,1796.308
343,531.8931
737,326.9411
845,946.3159
173,1493.4912
781,880.3018
1164,338.36307
819,450.5456
277,860.1048
674,1490.6508
1279,1982.141
1255,2892.7458
1240,1329.9946
41,1365.3212
719,1060.8369
298,2343.9934
935,2157.4941
826,851.9831
278,1451.9274
477,1619.3496
542,325.84604
151,592.3511
900,289.9688
1124,1061.462
1216,324.2776
459,1036.1892
584,378.09174
294,590.2523
1076,675.1383
91,1733.9485
632,1185.8651
1117,304.837
457,870.54297
326,557.67
925,2434.4631
398,350.78287
940,1279.5842
363,601.8807
906,941.3231
820,726.08246
1020,1218.8938
556,1698.8275
384,1197.1526
885,1024.8264
1285,1075.2273
438,452.74442
837,1949.3665
979,727.4655
548,481.48785
170,556.46674
62,1593.4115
309,490.05865
816,1782.2258
22,319.63617
285,2437.5867
668,528.439
417,1532.7286
685,1224.7822
1049,674.1779
440,714.4265
299,1408.3618
1188,707.5141
552,556.6611
586,468.9871
783,1583.353
1070,688.0541
1210,1049.729
1014,319.88135
501,1530.2585
140,1151.8956
235,468.40817
317,789.48474
861,1060.9978
257,1140.7715
1200,333.31982
371,1187.7903
1112,299.24667
419,2037.708
385,564.2391
1281,1017.7511
524,1315.415
1015,406.07767
1236,367.98917
1036,1450.0188
